Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3603,10001I (3603),"9/30/2017 - 12/31/2017, Every day, Daily Average",771,543,1093
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3604,100353 (3604),"9/30/2017 - 12/31/2017, Every day, Daily Average",1115,789,1575
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3605,10001B (3605),"9/30/2017 - 12/31/2017, Every day, Daily Average",812,545,1209
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3606,100092 (3606),"9/30/2017 - 12/31/2017, Every day, Daily Average",603,376,965
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3607,100018 (3607),"9/30/2017 - 12/31/2017, Every day, Daily Average",942,663,1337
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3608,10001H (3608),"9/30/2017 - 12/31/2017, Every day, Daily Average",861,606,1222
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3610,100364 (3610),"9/30/2017 - 12/31/2017, Every day, Daily Average",1472,1090,1987
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3611,406655 (3611),"9/30/2017 - 12/31/2017, Every day, Daily Average",1365,1011,1841
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3612,10001G (3612),"9/30/2017 - 12/31/2017, Every day, Daily Average",872,623,1218
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3613,10036A (3613),"9/30/2017 - 12/31/2017, Every day, Daily Average",1329,977,1806
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3614,10001F (3614),"9/30/2017 - 12/31/2017, Every day, Daily Average",908,648,1271
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3615,100094 (3615),"9/30/2017 - 12/31/2017, Every day, Daily Average",626,404,967
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3616,406671 (3616),"9/30/2017 - 12/31/2017, Every day, Daily Average",1531,1144,2047
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3617,100097 (3617),"9/30/2017 - 12/31/2017, Every day, Daily Average",732,503,1063
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3619,100211 (3619),"9/30/2017 - 12/31/2017, Every day, Daily Average",1065,740,1532
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3620,10001E (3620),"9/30/2017 - 12/31/2017, Every day, Daily Average",928,648,1328
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3621,10001D (3621),"9/30/2017 - 12/31/2017, Every day, Daily Average",917,637,1318
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3622,10001C (3622),"9/30/2017 - 12/31/2017, Every day, Daily Average",814,550,1204
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3623,100369 (3623),"9/30/2017 - 12/31/2017, Every day, Daily Average",1339,1001,1789
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3624,10001S (3624),"9/30/2017 - 12/31/2017, Every day, Daily Average",738,499,1090
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3625,10001U (3625),"9/30/2017 - 12/31/2017, Every day, Daily Average",825,558,1217
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3626,10001J (3626),"9/30/2017 - 12/31/2017, Every day, Daily Average",842,595,1191
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3627,100095 (3627),"9/30/2017 - 12/31/2017, Every day, Daily Average",651,436,970
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3629,10001K (3629),"9/30/2017 - 12/31/2017, Every day, Daily Average",837,591,1184
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3630,100199 (3630),"9/30/2017 - 12/31/2017, Every day, Daily Average",842,572,1239
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3631,10009D (3631),"9/30/2017 - 12/31/2017, Every day, Daily Average",794,548,1149
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3632,100366 (3632),"9/30/2017 - 12/31/2017, Every day, Daily Average",1416,1046,1915
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3633,100212 (3633),"9/30/2017 - 12/31/2017, Every day, Daily Average",1008,692,1466
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3634,10001L (3634),"9/30/2017 - 12/31/2017, Every day, Daily Average",900,641,1263
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3635,10001N (3635),"9/30/2017 - 12/31/2017, Every day, Daily Average",895,620,1291
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3637,100511 (3637),"9/30/2017 - 12/31/2017, Every day, Daily Average",1498,1122,1999
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3638,10001O (3638),"9/30/2017 - 12/31/2017, Every day, Daily Average",852,571,1270
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3639,406762 (3639),"9/30/2017 - 12/31/2017, Every day, Daily Average",1610,1185,2185
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3640,406652 (3640),"9/30/2017 - 12/31/2017, Every day, Daily Average",1377,1000,1895
